Date,Quarter,USCPI_UrbanB8284,USCPI_UrbanB67,USCPI_FoodBev,USCPI_Housing,USCPI_Transportation,US_Total_Employment,Federal funds effective rate,Prime Rate,13Mos_Libor_USD,Total Consumer Debt,Total Consumer Revolving Debt,Total Consumer Non-Revolving Debt,US GDP Y:     Gross domestic product,US GDP C: Personal consumption expenditures,US GDP C:   Goods,US GDP C:     Durable goods,US GDP C:     Nondurable goods,US GDP C:   Services,US GDP I: Gross private domestic investment,US GDP I:   Fixed investment,US GDP I:     Nonresidential,US GDP I:       Structures,US GDP I:       Equipment,US GDP I:       Intellectual property products,US GDP I:     Residential,US GDP I:   Change in private inventories,US GDP X: Net exports of goods and services,US GDP X:   Exports,US GDP X:     Goods,US GDP X:     Services,US GDP M:   Imports,US GDP M:     Goods,US GDP M:     Services,US GDP G: Government consumption expenditures and gross investment,US GDP G:   Federal,US GDP G:     National defense,US GDP G:     Nondefense,US GDP G:   State and local,US GDP Res: Residual,SP500,SP500 CHANGE,SP500 AVG DAILY CHANGE,SP500 DAILY GAP,SP500 DAILY NON-GAP CHANGE,SP500 AVG DAILY INTRA DAY VOLATILITY,SP500 QTRLY RETURN,SP500 QTRLY AVG VOLUME,US_HousingPrices_Base80,LoanDel_AllRE,LoanDel_AllCons,LoanDel_Leases,LoanDel_C&I,LoanDel_Agr,LoanDel_All,LoanChargOff_AllRE,LoanChargOff_AllCons,LoanChargOff_Leases,LoanChargOff_C&I,LoanChargOff_Agr,LoanChargOff_All,FX_USCAD,US_TotalReserves,US_MonetaryBase,Ttl_Loans_atFincos,Cons_Loans_atFincos,RE_Loans_atFincos,Biz_Loans_atFincos,All_Mtgs,Res_Mtgs,Murb_Mtgs,Ind_Mtgs,Farm_Mtgs,Ttl_ConsCrd,Ttl_Cons_Rvlving,Ttl_Cons_NonRvlving,Stud_Loans,Auto_Loans,Ttl_IndCapUtil,OECD_USBCI,OECD_USCLI,OECD_USCCI,US_NonfarmEmployees,US_CivilianLaborForce,US_LaborParticipation,US_Employed,US_Employment Ratio,US_FTEmployed,US_PTEmployed,US_UnemploymentLevel,US_UnemploymentRate,US_AverageWeeksUnempl,US_MedianWeeksUnempl,US_NewEntrantsUnempl,US_NotInLaborForce,US_NotInLaborForceSearching,US_NotInLaborForceDiscouraged,Weekly_Med_Earnings_CurDol,Weekly_Med_Earnings_CnstDol,LabProd_Q2Qchange,Unit Lab Cost Q2Q Chg,Real Hrly Comp Q2Q Chg,Nonfarm Lab Productivity Q2Q Chg,Nonfarm Unit Labor Cost Q2Q Change,Nonfarm Hourly Comp Q2Q Change,Import/Export Price All Commodities,Import/Export Price Index Fuels,Import/Export Price Index (ex fuels),Import/Export Price Index,Personal Saving % of Income,Personal Income Real (2012),Per Capita Personal Income (2012),US Population
12/31/1987,1987Q4,115.4,345.7,114.8,115.6,107.6,103664,6.77,8.75,7.4375,686318.77,160853.91,525464.86,8680162,5555451,,,,,1236986,,,,,,,,,520207,,,730605,,,2242147,,,,,-243201,,,,,,,,,148.67,4.84 ,3.31 ,1.90 ,6.23 ,7.42 ,5.32 ,0.46 ,1.49 ,0.78 ,1.15 ,1.89 ,1.04 ,1.3075,37692,266878,395973,153728.13,42194,200050.88,2968816.614,1928457.07,258355.2839,692129.26,89875,698640,169639,529001,,266552,61.2913,101.2757,1987Q4,100.5924,103664,120729,65.7,113793,62,94224,19568,6936,5.7,14.2,6,891,62891,,,381,330,3.6,1.4,1.9,4,0.8,1.7,85.5,57.8,,108.4,8.7,6353,26048,243895
3/31/1988,1988Q1,116.5,349,116,117,106.5,104487,6.58,8.5,6.90625,700701.2,167525.9,533175.3,8725006,5653588,,,,,1177604,,,,,,,,,549095,,,727165,,,2223440,,,,,-173361,,,,,,,,,151.63,4.85 ,3.27 ,1.79 ,5.85 ,6.24 ,5.12 ,0.46 ,1.45 ,0.47 ,1.18 ,0.80 ,1.13 ,1.2492,35923,263388,411311,155360.81,44375,211575.19,3037359.907,1974919.32,268333.7859,706101.8008,88005,693732,165379,528353,,270129,62.7932,100.4741,1988Q1,100.9143,104487,120913,65.7,114037,61.9,94645,19468,6876,5.7,13.7,6.4,880,63198,,,385,332,1.2,6.1,4.6,1.4,5.6,4.4,86.5,52.4,,110.1,8.2,6429.7,26312,244362
6/30/1988,1988Q2,118,353.5,117.6,118.6,108.5,105324,7.51,9,7.9375,713189.19,172963.18,540226.01,8839641,5695326,,,,,1205662,,,,,,,,,564482,,,718789,,,2230079,,,,,-167370,,,,,,,,,153.19,4.83 ,3.26 ,1.72 ,5.46 ,5.83 ,5.04 ,0.63 ,1.47 ,0.60 ,1.35 ,0.38 ,1.15 ,1.2176,37926,273081,420359,158830.55,45727,215801.45,3125218.788,2044957.79,265969.0238,728142.9744,86149,710128,171371,538757,,278049,64.0952,100.9107,1988Q2,101.0891,105324,121473,65.8,114927,62.3,95204,19480,6546,5.4,13.1,5.8,778,63089,,,382,325,0.5,4.6,0.8,1,3.9,0.6,88.8,54.8,,112.1,8.4,6484.8,26478,244914
9/30/1988,1988Q3,119.8,358.9,120.1,119.9,109.7,106009,8.19,10,8.625,722947.69,177480.12,545467.57,8891435,5745933,,,,,1212360,,,,,,,,,575606,,,735748,,,2230341,,,,,-162227,,,,,,,,,154.62,4.74 ,3.24 ,1.62 ,5.40 ,5.68 ,5.07 ,0.44 ,1.52 ,0.28 ,1.03 ,0.51 ,1.09 ,1.2267,37225,275231,422987,160481.91,46607,215898.09,3198206.63,2105915.21,269276.5071,738770.9125,84244,725838,176366,549472,,286351,64.067,100.4971,1988Q3,101.2377,106009,121960,65.9,115356,62.4,95671,19708,6604,5.4,13.6,5.7,774,63002,,,381,320,1.3,4,0.7,1,3.9,0.4,87.6,50,,110.4,8.9,6542.7,26642,245579
12/31/1988,1988Q4,120.5,360.9,120.6,120.2,110.8,106906,8.76,10.5,9.3125,731917.76,184593.12,547324.64,9009913,5811264,,,,,1230861,,,,,,,,,593175,,,758160,,,2273619,,,,,-175421,,,,,,,,,156.4,4.38 ,3.30 ,1.51 ,5.00 ,5.23 ,4.67 ,0.33 ,1.46 ,0.42 ,0.94 ,0.38 ,0.95 ,1.1962,37765,283789,437306,161319.13,47304,228682.88,3283839.855,2162789.45,274543.6986,764159.7062,82347,745206.4,194459.9,550746.5,,285420.9,62.9397,100.4641,1988Q4,101.1816,106906,122622,66.1,116104,62.6,95922,20138,6518,5.3,12.9,5.9,785,62780,,,392,326,0.9,1.8,-1.1,1,2.1,-0.7,89.3,49.1,,113.3,8.3,6612.2,26864,246140
3/31/1989,1989Q1,122.3,366.2,123.3,121.5,111.9,107619,9.85,11.5,10.3125,760018.34,190924.09,569094.25,9101508,5838225,,,,,1272638,,,,,,,,,610891,,,761686,,,2263625,,,,,-190525,,,,,,,,,158.56,4.76 ,3.43 ,1.66 ,5.25 ,4.78 ,4.93 ,0.48 ,1.57 ,0.53 ,0.92 ,0.43 ,0.94 ,1.1954,34549,278788,454036,169843.38,49146,235046.63,3338698.451,2196931.32,279826.1236,780404.0076,81537,753193,188471,564722,,285331,63.645,99.83132,1989Q1,101.0122,107619,123227,66.3,117022,62.9,96851,20287,6205,5,12.3,5.4,726,62670,,,397,326,0.9,0.5,-2.6,0.3,0.9,-2.8,91.3,57.5,,113.4,9.5,6693.7,27141,246626
6/30/1989,1989Q2,124.1,371.7,124.9,122.9,115.9,108026,9.53,11.07,9.3125,773227.11,197683.95,575543.16,9170977,5865477,,,,,1260328,,,,,,,,,637638,,,765297,,,2298443,,,,,-177949,,,,,,,,,161.93,4.76 ,3.52 ,1.80 ,5.18 ,4.71 ,4.99 ,0.47 ,1.55 ,0.51 ,0.89 ,0.31 ,1.04 ,1.1986,33832,283671,467810,173961.1,51456,242392.9,3408114.241,2255378.34,284990.6121,787067.2884,80678,769617,195893,573724,,290431,64.5947,98.79951,1989Q2,100.8803,108026,123995,66.5,117418,63,97167,19990,6577,5.3,11.1,5.4,733,62334,,,398,322,1.9,0.3,-3.7,1.2,0.4,-4.3,91.5,62.7,,112.2,8.2,6647.6,26889,247228
9/30/1989,1989Q3,125,374.6,125.9,124.3,113.7,108365,9.02,10.5,9.1875,781822.09,203176.98,578645.11,9238923,5922261,,,,,1249012,,,,,,,,,644151,,,764256,,,2319122,,,,,-145830,,,,,,,,,163.27,4.95 ,3.57 ,1.84 ,5.20 ,4.38 ,5.06 ,0.53 ,1.53 ,0.43 ,0.91 ,0.26 ,1.06 ,1.1828,33546,284036,468128,176195.31,53252,238680.69,3484006.883,2321631.6,285814.7394,796584.5738,79975.97,784207,202075,582132,,293292,64.275,98.45213,1989Q3,101.0314,108365,123944,66.4,117354,62.8,97486,19879,6590,5.3,11.5,4.9,649,62782,,,395,317,1.5,1.7,0.4,1.9,1.7,0.6,90.4,58.8,,111.8,8.1,6708.6,27057,247942
12/31/1989,1989Q4,126.1,377.6,127.2,124.9,115.2,108849,8.45,10.5,8.375,794612.18,211229.83,583382.34,9257128,5948000,,,,,1239747,,,,,,,,,653902,,,778084,,,2330755,,,,,-158181,,,,,,,,,164.19,5.08 ,3.58 ,1.95 ,5.15 ,4.17 ,4.94 ,0.53 ,1.64 ,0.53 ,1.41 ,0.34 ,1.52 ,1.1613,35367,294323,482545,177985.05,53781,250778.95,3534490.035,2369557.58,287001.1036,798709.7311,79221.62,809285,222295,586990,,290885,63.2238,98.75689,1989Q4,100.8783,108849,124497,66.5,117830,63,97921,19888,6667,5.4,11.6,4.9,685,62668,,,408,324,0.2,5.4,2,-0.1,5.8,2.1,91.6,63.3,,112.6,7.8,6748.2,27148,248569
3/31/1990,1990Q1,128.7,385.5,131.2,126.8,116.8,109647,8.28,10,8.5,798748.09,217589.37,581158.72,9358289,5998058,,,,,1252058,,,,,,,,,682300,,,802759,,,2368025,,,,,-158649,,,,,,,,,164.86,5.35 ,3.60 ,1.87 ,5.17 ,4.21 ,5.03 ,0.69 ,1.64 ,0.94 ,1.41 ,0.17 ,1.60 ,1.18,33386,292402,487719,176753.21,57197,253768.79,3628572.654,2450147.88,290562.6742,808932.1901,78929.91,792320,214920,577400,,287502,64.4711,99.2477,1990Q1,100.8015,109647,125801,66.7,119203,63.2,99032,20273,6598,5.2,11.7,5.1,701,62829,,,413,323,4.3,4.4,2.3,3.9,4,1.5,92.4,64,,115.1,8.3,6803.6,27308,249146
6/30/1990,1990Q2,129.9,389.1,131.7,128.3,118.2,109865,8.29,10,8.375,802892.74,225664.82,577227.92,9392251,6016329,,,,,1252449,,,,,,,,,690785,,,801412,,,2371758,,,,,-185887,,,,,,,,,165.85,5.66 ,3.61 ,1.85 ,5.35 ,3.81 ,5.08 ,0.74 ,1.72 ,0.61 ,1.43 ,0.21 ,1.63 ,1.173,33885,301742,506849,180120,60780,265949,3692982.446,2517151.48,284579.1371,812751.4489,78500.38,798712,223520,575192,,289637,65.7586,99.04279,1990Q2,100.6418,109865,125573,66.4,118983,62.9,98927,19913,6590,5.2,11.6,5.2,640,63485,,,411,318,3.1,5.1,4.5,2.7,5.1,4.1,90.8,54.6,,114.8,8.6,6848.9,27397,249990
9/30/1990,1990Q3,132.7,397.5,133,130.5,123,109517,8.2,10,8.3125,810436.23,234725.03,575711.19,9398499,6040163,,,,,1228170,,,,,,,,,696014,,,798176,,,2375531,,,,,-174778,,,,,,,,,165.21,6.08 ,3.81 ,2.12 ,5.46 ,3.67 ,5.38 ,0.77 ,1.83 ,0.60 ,1.28 ,0.23 ,1.25 ,1.1583,33260,308033,515178,186141.65,63486,265550.35,3748640.419,2567224.61,286903.9192,816486.6899,78025.2,812302,233653,578649,,290258,65.9926,98.16657,1990Q3,99.56826,109517,125892,66.4,118524,62.5,98537,20062,7368,5.9,12.4,5.6,683,63636,,,406,309,2.1,3.3,-1.1,1.3,4,-1.2,96.5,86.6,,116.7,8.1,6826.2,27206,250904
12/31/1990,1990Q4,133.8,400.9,133.9,130.5,127.2,109163,7.31,10,7.57813,808230.57,238642.62,569587.95,9312937,5994212,,,,,1159464,,,,,,,,,702143,,,776770,,,2391414,,,,,-142688,,,,,,,,,166.57,7.05 ,4.01 ,2.39 ,6.27 ,3.62 ,5.99 ,0.98 ,1.97 ,0.70 ,1.30 ,0.16 ,1.34 ,1.1603,30227,315270,525176,187737.05,64978,272460.95,3790044.306,2606804.94,287424.4609,818256.615,77558.29,824391,250909,573482,,283891,62.4705,97.30368,1990Q4,99.17595,109163,126142,66.4,118241,62.2,98109,20144,7901,6.3,12.5,5.9,706,63875,,,419,313,-4.1,7.2,-3.4,-4,7.5,-3,98.4,92.3,,119.3,8.8,6810.8,27053,251758
3/31/1991,1991Q1,135,404.3,136.3,132.6,122.3,108577,6.12,9,6.375,808351.83,246840.76,561511.07,9269367,5971672,,,,,1120884,,,,,,,,,706434,,,767918,,,2405676,,,,,-143935,,,,,,,,,167.7,7.33 ,4.12 ,2.73 ,6.29 ,3.55 ,6.13 ,0.88 ,2.20 ,0.80 ,1.48 ,0.34 ,1.46 ,1.1572,21712,311089,519126,186689.31,62711,269725.69,3834032.235,2641559.31,288956.6961,825795.3293,77720.9,802207,243907,558300,,275396,61.825,97.39404,1991Q1,99.85136,108577,126238,66.3,117652,61.8,97283,20331,8586,6.8,12.9,6.7,758,64143,,,432,320,1,1.3,0.2,1.3,1.1,0.3,95,65.7,,120.1,8,6811.6,26976,252507
6/30/1991,1991Q2,136,407.3,137.7,133.4,123.7,108337,5.9,8.5,6.1875,805994.66,252246.44,553748.22,9341642,6021163,,,,,1120880,,,,,,,,,732190,,,781568,,,2415461,,,,,-138671,,,,,,,,,167.99,7.38 ,4.21 ,2.65 ,6.41 ,3.60 ,6.20 ,0.95 ,2.33 ,0.75 ,1.87 ,0.30 ,1.69 ,1.1439,23671,318071,524336,188611.2,64056,271668.8,3898542.486,2700528.65,290202.9745,830074.0916,77736.77,801306,249675,551631,,269104,64.5935,99.07922,1991Q2,99.9408,108337,126331,66.2,117639,61.7,97100,20577,8692,6.9,13.7,6.9,815,64469,,,422,311,6.5,1,5.6,6.6,1.2,5.8,93.4,62.1,,117.2,8.9,6875.1,27137,253350
9/30/1991,1991Q3,137.2,411.1,136.7,134.7,123.8,108334,5.45,8.2,5.625,800889.34,258812.22,542077.11,9388845,6051184,,,,,1143073,,,,,,,,,749521,,,803562,,,2408695,,,,,-161239,,,,,,,,,170.36,7.19 ,4.17 ,2.49 ,6.22 ,3.52 ,6.00 ,1.00 ,2.40 ,0.97 ,1.97 ,0.45 ,1.79 ,1.137,23443,321825,523889,188516.02,64272,271100.98,3901399.181,2722798.54,282656.5343,818175.2468,77768.86,802500,257752,544748,,267363,65.2082,100.0509,1991Q3,99.80204,108334,126650,66.2,117928,61.6,97365,20634,8722,6.9,14,6.8,807,64652,,,421,308,2.8,1.9,2.2,3.5,1.4,2.4,93.3,63.4,,116.9,8.8,6897.1,27124,254280
12/31/1991,1991Q4,137.9,413,137.3,135,125.3,108325,4.43,7.21,4.25,798028.97,263768.55,534260.42,9421565,6048156,,,,,1183605,,,,,,,,,766393,,,821314,,,2391070,,,,,-187213,,,,,,,,,171.67,7.00 ,4.10 ,2.29 ,6.03 ,3.66 ,5.83 ,1.17 ,2.28 ,0.68 ,1.83 ,0.52 ,1.52 ,1.1467,26670,335415,522875,189012.92,63270,270592.09,3941706.085,2774705.66,284107.9219,805225.5228,77666.98,815581,277089,538492,,264214,62.7598,98.99823,1991Q4,99.15443,108325,126664,66,117466,61.2,96849,20609,9198,7.3,15.4,7.8,863,65134,,,432,314,2.4,3.1,2.5,1.9,3.5,2.4,94.3,62.9,,119,9.7,6982.1,27371,255089
3/31/1992,1992Q1,139.3,417.2,138.8,136.6,124.4,108369,3.98,6.5,4.36719,799442.11,266755.7,532686.41,9534346,6161398,,,,,1161740,,,,,,,,,780240,,,827280,,,2412262,,,,,-157106,,,,,,,,,171.64,6.70 ,3.96 ,2.18 ,5.76 ,3.57 ,5.55 ,1.01 ,2.39 ,0.79 ,1.95 ,0.33 ,1.51 ,1.1928,28042,335595,522069,190887.95,64259,266922.05,3972344.161,2814343.09,283927.9538,796053.3274,78019.79,793353,263739,529614,,262328,64.5628,99.98391,1992Q1,99.37608,108369,127604,66.4,118144,61.5,97390,20647,9460,7.4,17.1,8.3,872,64600,,,443,319,9.1,1.7,8.6,8.1,2.4,8.4,93.9,56.6,,119.3,9.7,7091.7,27718,255848
6/30/1992,1992Q2,140.2,419.9,138.3,137.7,126.9,108718,3.76,6.5,3.9375,797276.31,270707.63,526568.68,9637732,6203224,,,,,1227440,,,,,,,,,780613,,,840880,,,2407597,,,,,-169980,,,,,,,,,173.61,6.55 ,3.84 ,2.20 ,5.49 ,3.62 ,5.43 ,0.95 ,2.27 ,0.69 ,1.32 ,0.30 ,1.20 ,1.196,21237,337098,527795,192729.46,64373,270692.54,3994497.149,2845786.56,280081.0483,790379.7008,78249.84,792332,267816,524516,,259843,66.1636,100.1988,1992Q2,99.44965,108718,128459,66.7,118419,61.5,97652,20859,10040,7.8,18.2,8.7,1116,64204,,,436,312,3,0.1,0.4,3.5,0.3,1,94.8,64.5,,119.3,10.1,7177.8,27957,256742
9/30/1992,1992Q3,141.3,423.2,139.3,138.4,126.8,108959,3.22,6,3.26563,800198.9,273176.96,527021.95,9732979,6269718,,,,,1237197,,,,,,,,,797168,,,854135,,,2422933,,,,,-167157,,,,,,,,,174.48,6.28 ,3.71 ,2.18 ,5.25 ,3.90 ,5.22 ,1.18 ,2.10 ,0.59 ,1.43 ,0.38 ,1.41 ,1.2225,22641,346903,526743,196172.08,66163,264407.93,4032780.413,2899089.84,276591.0252,778673.1175,78426.43,801933,272158,529775,,264124,66.3676,99.57903,1992Q3,98.90635,108959,128501,66.5,118720,61.4,97733,21087,9781,7.6,18.1,8.6,997,64728,,,437,310,3.9,0.9,2.2,3.7,1,2.1,95.9,65.1,,121.9,8.7,7165.6,27805,257704
12/31/1992,1992Q4,141.9,425.2,139.5,138.5,129,109494,2.92,6,3.4375,806118.69,278449.67,527669.02,9834510,6344446,,,,,1274945,,,,,,,,,801187,,,874582,,,2422653,,,,,-165406,,,,,,,,,174.55,5.82 ,3.55 ,2.08 ,4.76 ,3.37 ,4.85 ,1.07 ,2.07 ,0.72 ,1.03 ,0.16 ,1.16 ,1.2725,25401,361903,539286,198832.12,65806,274647.88,4052423.591,2942067.53,270934.1356,760816.0852,78605.84,824769,292258,532511,,263987,65.7533,100.2111,1992Q4,99.08159,109494,128554,66.3,118997,61.4,98134,20869,9557,7.4,19,9.3,993,65230,,,445,314,2.3,0,-0.8,2.4,-0.2,-0.9,94.4,60.2,,120,10.6,7384.7,28562,258546
3/31/1993,1993Q1,143.6,430.1,140.9,140.2,129,109997,3.07,6,3.25,813656.29,284890.41,528765.89,9850973,6368772,,,,,1305003,,,,,,,,,803009,,,893518,,,2392598,,,,,-178862,,,,,,,,,176.21,5.45 ,3.49 ,1.74 ,4.41 ,3.30 ,4.52 ,0.80 ,1.84 ,0.51 ,0.94 ,0.22 ,1.02 ,1.2471,24387,362723,531172,196739.56,65422,269010.44,4053618.086,2952160.21,268822.439,753699.3964,78936.04,807262,281767,525495,,265446,67.0804,99.99863,1993Q1,99.12294,109997,128598,66.2,119542,61.5,98531,20913,9056,7,17.6,8.5,962,65650,,,456,319,-3.1,1,-4.1,-3.3,0.5,-4.8,94.7,61.7,,119.7,8.9,7235.1,27904,259283
6/30/1993,1993Q2,144.4,432.4,141.1,141.5,130.3,110749,3.04,6,3.3125,823811.81,289961.25,533850.55,9908347,6426703,,,,,1312511,,,,,,,,,812631,,,911978,,,2392812,,,,,-160748,,,,,,,,,177.63,5.14 ,3.39 ,1.60 ,4.01 ,2.99 ,4.21 ,0.75 ,1.82 ,0.37 ,0.85 ,0.22 ,0.90 ,1.2789,26446,375841,527578,197204.7,63635,266738.3,4096280.86,3006425.2,265981.7657,744641.1741,79232.72,818662,286864,531798,,271990,68.0328,99.32748,1993Q2,98.92234,110749,129411,66.5,120290,61.8,98971,21336,9121,7,17.8,8.3,975,65308,,,455,316,-1.9,5.2,0.3,-2.5,5.5,-0.1,95,60.1,,120.7,7.8,7248.8,27868,260109
9/30/1993,1993Q3,145.1,434.7,141.8,142.3,130.1,111455,3.09,6,3.375,840602.98,299447.98,541155,9955641,6498229,,,,,1303597,,,,,,,,,810460,,,923989,,,2396214,,,,,-131282,,,,,,,,,179.09,4.75 ,3.20 ,1.39 ,3.61 ,2.84 ,3.87 ,0.59 ,1.72 ,0.35 ,0.68 ,0.09 ,0.80 ,1.3215,27277,384705,528846,203401.83,62723,262721.17,4141884.532,3058802.77,264678.4351,738887.0873,79516.24,842668,298288,544380,,281967,68.3381,99.62698,1993Q3,98.76248,111455,129268,66.2,120554,61.7,99551,21148,8714,6.7,18.1,8.3,882,65991,,,456,315,-0.3,0.6,-1.2,1.9,-1.6,-1.2,94.5,55.5,,121.1,6.9,7257.8,27806,261015
12/31/1993,1993Q4,145.8,436.8,143.3,142.3,132.1,112314,2.96,6,3.375,865650.58,309908.02,555742.56,10091049,6555274,,,,,1372097,,,,,,,,,836583,,,961109,,,2404675,,,,,-136720,,,,,,,,,180.23,4.20 ,2.98 ,1.17 ,3.05 ,2.70 ,3.38 ,0.47 ,1.56 ,0.24 ,0.56 ,0.14 ,0.76 ,1.3308,29360,398638,544331,213109.83,62715,268506.17,4183659.809,3101004.04,267682.98,735163.2192,79809.57,886169,325011,561158,,289768,67.7894,100.4112,1993Q4,99.34286,112314,129941,66.4,121464,62,100300,21296,8477,6.5,18.3,8.3,851,65853,,,467,320,3.2,-0.2,0.2,1.6,1.4,0.3,93.5,48.4,,120.9,9.1,7489.1,28607,261796
3/31/1994,1994Q1,147.2,441.1,143.9,144.1,132.2,113249,3.34,6.06,3.9375,891333.16,319777.37,571555.79,10188954,6630253,,,,,1424360,,,,,,,,,844786,,,983500,,,2374923,,,,,-166036,,,,,,,,,181.33,3.96 ,2.88 ,1.09 ,2.79 ,2.59 ,3.17 ,0.47 ,1.49 ,0.06 ,0.30 ,0.23 ,0.57 ,1.3644,27395,400752,556408,217539.93,62477,276391.07,4207096.825,3132499.19,267541.24,726631.1752,80425.22,883876,316400,567476,,294262,69.7899,100.7941,1994Q1,100.0293,113249,130400,66.5,121930,62.1,98355,23451,8470,6.5,19,9.3,619,65813,1832,533,469,320,1,-3.7,-3.9,1.2,-3.4,-3.4,94,48.8,,121.1,6.8,7387.3,28143,262491
6/30/1994,1994Q2,148,443.3,144.2,144.9,133.8,114248,4.25,7.25,4.875,924216.02,334852.8,589363.22,10327019,6681841,,,,,1494411,,,,,,,,,873301,,,1020145,,,2386677,,,,,-204906,,,,,,,,,182.07,3.62 ,2.76 ,1.03 ,2.40 ,2.44 ,2.87 ,0.36 ,1.42 ,0.08 ,0.31 ,0.14 ,0.59 ,1.3836,26505,411591,572205,227479.48,63455,281270.52,4255744.136,3179968.78,268641.402,726198.0538,80935.9,918580,331247,587333,,308539,71.8987,101.091,1994Q2,100.4833,114248,130561,66.4,122634,62.3,99431,23216,7927,6.1,18.8,9.3,530,66132,1777,532,465,315,-0.6,3,0.1,0.1,3,0.8,96.3,57.4,,121.5,6.9,7461,28337,263294
9/30/1994,1994Q3,149.4,447.5,145.6,145.8,135.9,115260,4.73,7.75,5.5,957375.6,350083.91,607291.69,10387382,6732791,,,,,1469999,,,,,,,,,905984,,,1048832,,,2426909,,,,,-171797,,,,,,,,,181.91,3.28 ,2.71 ,0.91 ,2.22 ,2.41 ,2.66 ,0.25 ,1.41 ,0.11 ,0.19 ,0.19 ,0.45 ,1.354,25169,416866,585004,238555.91,65641,280807.09,4306745.215,3230629.4,268474.7495,726190.0252,81451.04,959953,348625,611328,,322892,72.7629,101.1937,1994Q3,100.748,115260,131421,66.6,123687,62.7,100653,23097,7734,5.9,18.7,9.2,607,65827,1858,521,462,310,-1.9,2.2,-2.8,-2.1,2.2,-3,97.2,55.4,,122.1,6.8,7508.6,28424,264159
12/31/1994,1994Q4,149.7,448.4,147.2,145.4,137.1,116168,5.45,8.5,6.5,997301.74,365569.56,631732.19,10506372,6805581,,,,,1530476,,,,,,,,,926900,,,1078342,,,2405793,,,,,-185677,,,,,,,,,182.88,2.99 ,2.74 ,0.86 ,2.18 ,2.43 ,2.52 ,0.25 ,1.47 ,0.13 ,0.24 ,0.21 ,0.47 ,1.3893,24671,428489,613485,247958.11,66892,298634.89,4348090.202,3278213.72,268212.3446,720072.9771,81591.16,1021168.47,383187,637981.47,,330198,72.5788,100.8885,1994Q4,100.7951,116168,131951,66.7,124721,63.1,101273,23475,7230,5.5,17.8,8.7,526,65814,1810,445,472,316,4,-1.2,1,4.3,-1.1,1.4,98.4,56.6,,122.1,7.2,7614.2,28741,264924
3/31/1995,1995Q1,151.4,453.5,147.9,147.4,138,116912,5.98,9,6.25,1033632.09,385559.92,648072.17,10543644,6822519,,,,,1546548,,,,,,,,,944760,,,1102003,,,2414209,,,,,-167389,,,,,,,,,185.87,3.04 ,2.87 ,0.73 ,2.12 ,2.46 ,2.54 ,0.24 ,1.44 ,0.03 ,0.17 ,0.11 ,0.44 ,1.4077,22629,427727,632300,253909.48,68531,309859.52,4380995.819,3306284.81,267138.3694,725383.5891,82189.05,1024545.96,381573,642972.96,,333728,73.9757,99.84995,1995Q1,100.5484,116912,132108,66.7,124955,63.1,101506,23388,7153,5.4,17.3,8.3,582,65899,1732,454,478,317,-0.7,3.5,0.3,0.4,2.1,0,99.9,59.7,,122.5,7.5,7675.4,28896,265625
6/30/1995,1995Q2,152.5,456.7,148.4,148.5,141.1,117297,6,9,6.05859,1069377.91,406087.43,663290.48,10575100,6882330,,,,,1514426,,,,,,,,,958011,,,1112469,,,2422321,,,,,-138021,,,,,,,,,188.73,2.94 ,3.00 ,0.70 ,2.10 ,2.50 ,2.51 ,0.24 ,1.63 ,0.24 ,0.12 ,0.17 ,0.46 ,1.3775,21055,434846,653402,264787.9,70477,318137.1,4435680.528,3356025.063,269245.926,727630.1887,82779.35,1063126.32,401754,661372.32,,342968,75.2351,98.81936,1995Q2,100.585,117297,131949,66.5,124522,62.7,101529,22997,7427,5.6,15.9,7.9,585,66504,1574,364,475,312,1.2,1.6,-0.3,1.8,1.4,0.1,101.4,62.4,,124.8,6.7,7719,28974,266414
9/30/1995,1995Q3,153.2,459,149.4,149.5,138.8,117893,5.8,8.75,5.95313,1106612.68,429032.15,677580.53,10665060,6944700,,,,,1505399,,,,,,,,,999470,,,1116291,,,2415965,,,,,-95215,,,,,,,,,190.21,2.87 ,3.19 ,0.86 ,2.07 ,2.48 ,2.51 ,0.14 ,1.82 ,0.07 ,0.33 ,0.17 ,0.54 ,1.3509,20521,436332,662887,273349.73,72609,316928.28,4483809.269,3413004.429,270357.6262,729196.2136,71251,1109598.72,427090,682508.72,,356289,76.2868,98.80632,1995Q3,100.4642,117893,132611,66.6,125133,62.9,101733,23469,7478,5.6,16.2,7.9,614,66394,1583,341,479,313,0.3,2.2,0.6,-0.1,2.3,0.3,100.8,58.1,,123.8,6.8,7766.9,29056,267304
